ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCMPLPO23N000000158","장소","관광지","16637622","고맙습니다촬영지",,,"60515","드라마/영화촬영지","4691031023118280000","전라남도","신안군","증도면","대초리","1828","4691031023","4691031000","469104706356","화도길","334","126.161549952053","34.9475224570825","나라777622","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000159","장소","관광지","16644139","시크릿가든촬영장",,,"60515","드라마/영화촬영지","4167034526104430003","경기도","여주시","세종대왕면","용은리","443-3","4167034526","4167034500","416704442369","용은길","28","127.539336945096","37.2915062636094","라사034213","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000160","장소","관광지","16644807","드라마하우스",,,"60515","드라마/영화촬영지","3171031025200280000","울산광역시","울주군","서생면","대송리","산28","3171031025","3171031000","317104319014","간절곶해안길","231","129.359466011716","35.3641150232754","마마689091","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000161","장소","관광지","16676890","삼여전망대",,,"60515","드라마/영화촬영지","4822035022200080218","경상남도","통영시","욕지면","서산리","산8-218","4822035022","4822035000",,,,"128.251433089175","34.6215551793655","라라688255","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000162","장소","관광지","16843633","더그림",,,"60515","드라마/영화촬영지","4183034022105640007","경기도","양평군","옥천면","용천리","564-7","4183034022","4183034000","418304451585","사나사길","175","127.497049767418","37.5291127562842","다사997477","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000163","장소","관광지","16854823","소향촌",,,"60515","드라마/영화촬영지","4155032027107530000","경기도","안성시","금광면","삼흥리","753","4155032027","4155032000",,,,"127.362746676481","37.0163427334821","다바877908","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000164","장소","관광지","16913015","온달관광지정도전촬영지",,,"60515","드라마/영화촬영지","4380033022101470000","충청북도","단양군","영춘면","하리","147","4380033022","4380033000","438003248041","온달로","23","128.492052552575","37.0621049615601","라바881964","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000165","장소","관광지","16914758","환상의커플철수네집촬영지",,,"60515","드라마/영화촬영지","4884033026100480001","경상남도","남해군","삼동면","물건리","48-1","4884033026","4884033000",,,,"128.040326419311","34.800579202023","라라494452","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000166","장소","관광지","16923784","영화밀양촬영지",,,"60515","드라마/영화촬영지","4827010800105580013","경상남도","밀양시","가곡동",,"558-13","4827010800","4827054000","482704808012","가곡8길","20","128.76495707387","35.4743694973349","마마147205","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000167","장소","관광지","17463400","스튜디오큐브",,,"60515","드라마/영화촬영지","3020012700100030001","대전광역시","유성구","도룡동",,"3-1","3020012700","3020055000","302004301105","대덕대로","480","127.381086510936","36.376779236884","다바893199","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000168","장소","관광지","17733908","금강송드라마세트장",,,"60515","드라마/영화촬영지","4793031022200790000","경상북도","울진군","북면","나곡리","산79","4793031022","4793031000",,,,"129.373592445725","37.1170919964047","마사664036","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000169","장소","관광지","17765143","드라마영광의재인촬영지",,,"60515","드라마/영화촬영지","4311111200100880002","충청북도","청주시 상당구","수동",,"88-2","4311111200","4311152500","431113236034","수암로","43","127.494164454557","36.6461465125227","다바994498","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000170","장소","관광지","17772291","태양의후예촬영지",,,"60515","드라마/영화촬영지","5119011200200670038","강원특별자치도","태백시","통동",,"산67-38","5119011200","5119052500","511904466203","통골길","116-44","129.042979175582","37.1607807725544","마사370080","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000171","장소","관광지","17839984","별에서온그대촬영지",,,"60515","드라마/영화촬영지","4833034021104720001","경상남도","양산시","하북면","순지리","472-1","4833034021","4833034000","483304814808","통도7길","68","129.083050333555","35.4984784887357","마마435236","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000172","장소","관광지","18074399","죽성성당",,,"60515","드라마/영화촬영지","2671025024101350000","부산광역시","기장군","기장읍","죽성리","135","2671025024","2671025000","267104220086","두호길","29-43","129.248585472803","35.2410490962208","마라591953","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000173","장소","관광지","18114622","겨울연가촬영지",,,"60515","드라마/영화촬영지","5176038026101300000","강원특별자치도","평창군","대관령면","용산리","130","5176038026","5176038000","517603228021","올림픽로","715","128.684230419614","37.6428645557","마사044610","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000174","장소","관광지","18223879","워낭소리부부의집",,,"60515","드라마/영화촬영지","4792038024107260002","경상북도","봉화군","상운면","하눌리","726-2","4792038024","4792038000","479204772185","산정길","84-41","128.768747245964","36.8717952024645","마바130755","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000175","장소","관광지","18231434","TVN선다방촬영지",,,"60515","드라마/영화촬영지","1111013900101320001","서울특별시","종로구","팔판동",,"132-1","1111013900","1111054000","111104100485","팔판길","13","126.980754803623","37.5825828627032","다사541538","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000176","장소","관광지","19868757","겨울연가촬영지",,,"60515","드라마/영화촬영지","5111040030101970000","강원특별자치도","춘천시","남산면","방하리","197","5111040030","5111040000","511104454832","남이섬길","1","127.526743087518","37.795399483987","라사023773","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000177","장소","관광지","20174255","아스달연대기드라마세트장",,,"60515","드라마/영화촬영지","4137011000102450000","경기도","오산시","내삼미동",,"245","4137011000","4137054000",,,,"127.064016302549","37.1791820391829","다사612090","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000178","장소","관광지","20518086","선샤인스튜디오",,,"60515","드라마/영화촬영지","4423025330108590055","충청남도","논산시","연무읍","황화정리","859-55","4423025330","4423025300","442303256004","봉황로","90","127.105520245868","36.1027084981972","다마644895","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000179","장소","관광지","20685271","제주실내영상스튜디오",,,"60515","드라마/영화촬영지","5011031030121140037","제주특별자치도","제주시","한경면","저지리","2114-37","5011031030","5011031000","501104848635","저지12길","53","126.262194583572","33.3397841655346","나나848838","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000180","장소","관광지","20777056","도깨비촬영지",,,"60515","드라마/영화촬영지","5115025022100810032","강원특별자치도","강릉시","주문진읍","교항리","81-32","5115025022","5115025000","511503220050","해안로","1609","128.833390594897","37.8794242713501","마사172874","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000181","장소","관광지","21001300","혜원의집",,,"60515","드라마/영화촬영지","2772034025109270002","대구광역시","군위군","우보면","미성리","927-2","2772034025","2772034000","277204742096","미성5길","58-1","128.664599692445","36.1798293760995","마마047987","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000182","장소","관광지","21073826","아현동골목길",,,"60515","드라마/영화촬영지","1144010100107290000","서울특별시","마포구","아현동",,"729","1144010100","1144056500",,,,"126.961055213623","37.5565393214378","다사523509","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000183","장소","관광지","21713053","낭만닥터김사부촬영지",,,"60515","드라마/영화촬영지","4165039023102040001","경기도","포천시","영북면","산정리","204-1","4165039023","4165039000","416503213016","산정호수로","771","127.323412254206","38.071846807859","다아845079","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000184","장소","관광지","22026398","글로벌미디어",,,"60515","드라마/영화촬영지","4180034023100900000","경기도","연천군","미산면","백석리","90","4180034023","4180034000","418003215058","마유로","105","126.973594204399","38.0484609130595","다아538055","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000185","장소","관광지","22129834","자산어보촬영지",,,"60515","드라마/영화촬영지","4691035021113560000","전라남도","신안군","도초면","발매리","1356","4691035021","4691035000",,,,"125.916795289571","34.6940242066937","나라549344","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000186","장소","관광지","22249218","슬픈연가촬영지",,,"60515","드라마/영화촬영지","3011012100106800000","대전광역시","동구","추동",,"680","3011012100","3011072500",,,,"127.486031925559","36.3788821995213","다바987201","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000187","장소","관광지","22354845","어썸타운스튜디오",,,"60515","드라마/영화촬영지","4128111900100150012","경기도","고양시 덕양구","내유동",,"15-12","4128111900","4128160000","412814376036","내유길","180-7","126.867854337572","37.7242517889303","다사442695","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000188","장소","관광지","22376369","수상해양복합촬영장",,,"60515","드라마/영화촬영지","3020012700100030001","대전광역시","유성구","도룡동",,"3-1","3020012700","3020055000","302004301105","대덕대로","480","127.381073374676","36.3768398972453","다바893199","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000189","장소","관광지","22510598","기생충포토존",,,"60515","드라마/영화촬영지","1111018400102220000","서울특별시","종로구","부암동",,"222","1111018400","1111055000",,,,"126.964098303596","37.5933293107434","다사526550","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000190","장소","관광지","22530097","명진책대여점",,,"60515","드라마/영화촬영지","4511112600100010002","전라북도","전주시 완산구","서서학동",,"1-2","4511112600","4511166000","451114598196","서학3길","63","127.151738910258","35.808335715726","다마685569","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000191","장소","관광지","22530100","한벽터널",,,"60515","드라마/영화촬영지","4511111800200070003","전라북도","전주시 완산구","교동",,"산7-3","4511111800","4511153000","451112266001","기린대로","2","127.160680473186","35.8120254611452","다마693573","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000192","장소","관광지","22633189","갯마을드라마촬영지",,,"60515","드라마/영화촬영지","4711332029104290000","경상북도","포항시 북구","청하면","청진리","429","4711332029","4711332000","471133304045","해안로","1884-2","129.396970796364","36.1705420818956","마마706987","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000193","장소","관광지","22644043","문경실내촬영스튜디오",,,"60515","드라마/영화촬영지","4728010600100340004","경상북도","문경시","신기동",,"34-4","4728010600","4728060000","472804736406","신기공단1길","27-45","128.179123335101","36.6387670594442","라바607492","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000194","장소","관광지","22804471","니지모리스튜디오",,,"60515","드라마/영화촬영지","4125011100108850012","경기도","동두천시","탑동동",,"885-12","4125011100","4125056500","412503189032","천보산로","567-12","127.092031051106","37.8790033892857","다사641866","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000195","장소","관광지","22811242","스크릿가든촬영지",,,"60515","드라마/영화촬영지","4182032526106160000","경기도","가평군","청평면","고성리","616","4182032526","4182032500","418203216049","호반로","1067","127.490997605602","37.7154874102727","다사992684","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000196","장소","관광지","22933045","BTS버스정류장",,,"60515","드라마/영화촬영지","5115025025100080039","강원특별자치도","강릉시","주문진읍","향호리","8-39","5115025025","5115025000",,,,"128.8169668406","37.9125326233107","마사157911","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000197","장소","관광지","23053169","리틀포레스트촬영지",,,"60515","드라마/영화촬영지","2772034025109270002","대구광역시","군위군","우보면","미성리","927-2","2772034025","2772034000","277204742096","미성5길","58-1","128.664474166503","36.179732963707","마마047986","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
